key, count, percentage
6, 11, 0.006030701754385965
7, 7, 0.003837719298245614
8, 23, 0.012609649122807017
9, 264, 0.14473684210526316
10, 400, 0.21929824561403508
11, 384, 0.21052631578947367
12, 242, 0.13267543859649122
13, 304, 0.16666666666666666
14, 255, 0.13980263157894737
15, 168, 0.09210526315789473
16, 182, 0.09978070175438597
17, 72, 0.039473684210526314
18, 221, 0.12116228070175439
19, 209, 0.11458333333333333
20, 91, 0.049890350877192985
21, 67, 0.03673245614035088
22, 63, 0.03453947368421053
23, 38, 0.020833333333333332
24, 68, 0.03728070175438596
25, 56, 0.03070175438596491
26, 57, 0.03125
27, 20, 0.010964912280701754
28, 6, 0.003289473684210526
29, 7, 0.003837719298245614
30, 8, 0.0043859649122807015
31, 28, 0.015350877192982455
32, 51, 0.027960526315789474
33, 67, 0.03673245614035088
34, 43, 0.023574561403508772
35, 14, 0.007675438596491228
36, 1, 0.0005482456140350877
12.3, 114, 0.0625
13.3, 66, 0.03618421052631579
17.2, 1, 0.0005482456140350877
11.3, 17, 0.00932017543859649
14.3, 20, 0.010964912280701754
OL, 2, 0.0010964912280701754
15.3, 1, 0.0005482456140350877
