, DXS10079, DXS101, DXS10135, DXS10162, DXS6795, DXS6800, DXS6803, DXS6807, DXS6809, DXS6810, DXS7133, DXS7423, DXS981, DXS9902, DXS9907,  GATA165B12,  GATA172D05,  GATA31E08,  HPRTB
6, , , , , , , , , , , 0.006756756756756757, , , , , , 0.06756756756756757, , 
7, , , , , , , , , , , , , , , , , 0.006756756756756757, 0.06756756756756757, 
8, , , , , , , , , , , 0.006756756756756757, , , , , , 0.08783783783783784, 0.04054054054054054, 
9, , , , , 0.060810810810810814, , , , , , 0.6554054054054054, , , 0.013513513513513514, 0.006756756756756757, 0.22297297297297297, 0.10810810810810811, 0.19594594594594594, 
10, , , , , 0.13513513513513514, , 0.013513513513513514, , , , 0.23648648648648649, , , 0.47297297297297297, , 0.5135135135135135, 0.4189189189189189, 0.2702702702702703, 
11, , , , , 0.2702702702702703, , 0.12162162162162163, 0.4797297297297297, , , 0.08783783783783784, , , 0.31756756756756754, 0.04054054054054054, 0.20270270270270271, 0.2905405405405405, 0.32432432432432434, 0.07432432432432433
11.1, , , , , , , , , , , , , , 0.006756756756756757, , , , , 
11.3, , , , , , , 0.10810810810810811, , , , , , 0.006756756756756757, , , , , , 
12, , , , , 0.0472972972972973, , 0.13513513513513514, 0.006756756756756757, , , 0.006756756756756757, , , 0.1891891891891892, 0.47297297297297297, 0.05405405405405406, 0.02027027027027027, 0.08783783783783784, 0.1554054054054054
12.3, , , , , , , 0.4797297297297297, , , , , , 0.07432432432432433, , , , , , 
13, , , , , 0.4391891891891892, , 0.02702702702702703, 0.05405405405405406, , , , 0.006756756756756757, 0.16891891891891891, , 0.41216216216216217, 0.006756756756756757, , 0.013513513513513514, 0.4527027027027027
OL, , , 0.006756756756756757, , , , , , 0.006756756756756757, , , , , , 0.006756756756756757, , , , 
13.3, , , , , , , 0.0945945945945946, , , , , , 0.17567567567567569, , , , , , 
14, , , , , 0.0472972972972973, , , 0.2905405405405405, , , , 0.30405405405405406, 0.28378378378378377, , 0.05405405405405406, , , , 0.2702702702702703
14.3, , , , , , , 0.02027027027027027, , , , , , 0.060810810810810814, , , , , , 
15, , 0.006756756756756757, 0.006756756756756757, , , , , 0.14189189189189189, , , , 0.6081081081081081, 0.16891891891891891, , 0.006756756756756757, , , , 0.04054054054054054
15.3, , , , , , , , , , , , , 0.006756756756756757, , , , , , 
16, 0.02702702702702703, , 0.013513513513513514, 0.0472972972972973, , 0.7837837837837838, , 0.02027027027027027, , 0.02027027027027027, , 0.060810810810810814, 0.033783783783783786, , , , , , 0.006756756756756757
16.3, , , , , , , , , , , , , 0.013513513513513514, , , , , , 
17, 0.07432432432432433, , 0.02027027027027027, 0.14864864864864866, , 0.013513513513513514, , 0.006756756756756757, , 0.16216216216216217, , 0.013513513513513514, 0.006756756756756757, , , , , , 
18, 0.13513513513513514, , 0.0472972972972973, 0.34459459459459457, , 0.006756756756756757, , , , 0.5, , 0.006756756756756757, , , , , , , 
19, 0.19594594594594594, , 0.08783783783783784, 0.28378378378378377, , 0.13513513513513514, , , , 0.3108108108108108, , , , , , , , , 
20, 0.25675675675675674, , 0.07432432432432433, 0.12162162162162163, , , , , , 0.006756756756756757, , , , , , , , , 
21, 0.17567567567567569, 0.006756756756756757, 0.14189189189189189, 0.05405405405405406, , 0.02027027027027027, , , , , , , , , , , , , 
22, 0.13513513513513514, 0.033783783783783786, 0.08783783783783784, , , 0.04054054054054054, , , , , , , , , , , , , 
23, , 0.12162162162162163, 0.07432432432432433, , , , , , , , , , , , , , , , 
24, , 0.28378378378378377, 0.12162162162162163, , , , , , , , , , , , , , , , 
25, , 0.20945945945945946, 0.06756756756756757, , , , , , , , , , , , , , , , 
26, , 0.16216216216216217, 0.060810810810810814, , , , , , , , , , , , , , , , 
27, , 0.08783783783783784, 0.033783783783783786, , , , , , , , , , , , , , , , 
28, , 0.060810810810810814, 0.05405405405405406, , , , , , 0.006756756756756757, , , , , , , , , , 
29, , 0.02027027027027027, 0.04054054054054054, , , , , , , , , , , , , , , , 
29.1, , , , , , , , , 0.006756756756756757, , , , , , , , , , 
30, , 0.006756756756756757, 0.013513513513513514, , , , , , 0.02702702702702703, , , , , , , , , , 
31, , , 0.033783783783783786, , , , , , 0.16891891891891891, , , , , , , , , , 
32, , , 0.013513513513513514, , , , , , 0.19594594594594594, , , , , , , , , , 
33, , , , , , , , , 0.1891891891891892, , , , , , , , , , 
34, , , , , , , , , 0.2972972972972973, , , , , , , , , , 
35, , , , , , , , , 0.06756756756756757, , , , , , , , , , 
36, , , , , , , , , 0.033783783783783786, , , , , , , , , , 
