, DXS10079, DXS101, DXS10135, DXS10162, DXS6795, DXS6800, DXS6803, DXS6807, DXS6809, DXS6810, DXS7133, DXS7423, DXS981, DXS9902, DXS9907,  GATA165B12,  GATA172D05,  GATA31E08,  HPRTB
6, , , , , , , , , , , 0.006369426751592357, , , , , , 0.05128205128205128, , 
7, , , , , , , , , , , , , , , , , 0.00641025641025641, 0.09554140127388536, 
8, , , , , , , , , , , 0.006369426751592357, , , , 0.00641025641025641, , 0.1282051282051282, 0.03184713375796178, 
9, , , , , 0.06369426751592357, , , , , , 0.643312101910828, , , 0.01910828025477707, 0.01282051282051282, 0.17197452229299362, 0.14102564102564102, 0.1910828025477707, 
9.3, , , , , , , , 0.006369426751592357, , , , , , , , , , , 
10, , , , , 0.12101910828025478, , 0.03184713375796178, , , , 0.24203821656050956, , 0.0031847133757961785, 0.4968152866242038, , 0.5796178343949044, 0.391025641025641, 0.267515923566879, 
11, , , , , 0.2229299363057325, , 0.19745222929936307, 0.445859872611465, , , 0.09554140127388536, , , 0.31210191082802546, 0.02564102564102564, 0.19745222929936307, 0.1987179487179487, 0.3248407643312102, 0.050955414012738856
11.3, , , , , , , 0.10191082802547771, , , , , , , , , , , , 
12, , , , , 0.050955414012738856, , 0.11464968152866242, 0.012738853503184714, , , 0.006369426751592357, , 0.025477707006369428, 0.16560509554140126, 0.3974358974358974, 0.044585987261146494, 0.08333333333333333, 0.07643312101910828, 0.24203821656050956
12.3, , , , , , , 0.4394904458598726, , , , , , 0.06369426751592357, , , , , , 
13, , , , , 0.4968152866242038, , 0.025477707006369428, 0.044585987261146494, , , , 0.00641025641025641, 0.1592356687898089, 0.006369426751592357, 0.46794871794871795, 0.006369426751592357, , 0.006369426751592357, 0.4140127388535032
OL, , 0.006369426751592357, , 0.009554140127388535, , , , , 0.006369426751592357, , , , , , 0.01282051282051282, , , , 
13.3, , , , , , , 0.08280254777070063, , , , , , 0.1592356687898089, , , , , , 
14, , , , , 0.044585987261146494, , , 0.2802547770700637, , , , 0.25, 0.28662420382165604, , 0.0641025641025641, , , 0.006369426751592357, 0.2356687898089172
14.3, , , , , , , 0.006369426751592357, , , , , , 0.08917197452229299, , , , , , 
15, 0.006369426751592357, , , , , , , 0.1910828025477707, , , , 0.6410256410256411, 0.14012738853503184, , 0.01282051282051282, , , , 0.05732484076433121
15.3, , , , , , , , , , , , , 0.006369426751592357, , , , , , 
16, 0.025477707006369428, , 0.006369426751592357, 0.03821656050955414, , 0.8789808917197452, , 0.01910828025477707, , 0.00641025641025641, , 0.09615384615384616, 0.03503184713375796, , , , , , 
16.3, , , , , , , , , , , , , 0.01910828025477707, , , , , , 
17, 0.07643312101910828, , 0.006369426751592357, 0.18471337579617833, , 0.006369426751592357, , , , 0.17307692307692307, , 0.00641025641025641, 0.006369426751592357, , , , , , 
17.3, , , , , , , , , , , , , 0.006369426751592357, , , , , , 
18, 0.1592356687898089, , 0.025477707006369428, 0.39490445859872614, , 0.006369426751592357, , , , 0.5448717948717948, , , , , , , , , 
19, 0.1910828025477707, , 0.09554140127388536, 0.2643312101910828, , 0.03821656050955414, , , , 0.2692307692307692, , , , , , , , , 
20, 0.2611464968152866, 0.012738853503184714, 0.12101910828025478, 0.08280254777070063, , 0.006369426751592357, , , , 0.00641025641025641, , , , , , , , , 
21, 0.16560509554140126, 0.012738853503184714, 0.12101910828025478, 0.01910828025477707, , 0.012738853503184714, , , , , , , , , , , , , 
22, 0.09554140127388536, 0.050955414012738856, 0.1464968152866242, 0.006369426751592357, , 0.050955414012738856, , , , , , , , , , , , , 
23, 0.01910828025477707, 0.12101910828025478, 0.09554140127388536, , , , , , , , , , , , , , , , 
24, , 0.3630573248407643, 0.09554140127388536, , , , , , , , , , , , , , , , 
25, , 0.17834394904458598, 0.07006369426751592, , , , , , , , , , , , , , , , 
26, , 0.1337579617834395, 0.044585987261146494, , , , , , , , , , , , , , , , 
27, , 0.08280254777070063, 0.03821656050955414, , , , , , , , , , , , , , , , 
28, , 0.01910828025477707, 0.03184713375796178, , , , , , 0.006369426751592357, , , , , , , , , , 
29, , 0.006369426751592357, 0.025477707006369428, , , , , , 0.006369426751592357, , , , , , , , , , 
30, , 0.012738853503184714, 0.044585987261146494, , , , , , 0.006369426751592357, , , , , , , , , , 
31, , , , , , , , , 0.1464968152866242, , , , , , , , , , 
32, , , 0.012738853503184714, , , , , , 0.19745222929936307, , , , , , , , , , 
33, , , 0.006369426751592357, , , , , , 0.2929936305732484, , , , , , , , , , 
34, , , 0.012738853503184714, , , , , , 0.17834394904458598, , , , , , , , , , 
35, , , , , , , , , 0.11464968152866242, , , , , , , , , , 
36, , , , , , , , , 0.03821656050955414, , , , , , , , , , 
37, , , , , , , , , 0.006369426751592357, , , , , , , , , , 
