, DXS10079, DXS101, DXS10135, DXS10162, DXS6795, DXS6800, DXS6803, DXS6807, DXS6809, DXS6810, DXS7133, DXS7423, DXS981, DXS9902, DXS9907,  GATA165B12,  GATA172D05,  GATA31E08,  HPRTB
6, , , , , , , , , , , 0.005, , , , , , 0.11, 0.005, 
7, , , , , , , , , , , 0.005, , , , , , 0.01, 0.14, 
8, , , , , , , , , , , , , , , 0.01507537688442211, , 0.16, 0.025, 0.005
9, , , , , 0.22, , , , , , 0.47, , , 0.02030456852791878, 0.010050251256281407, 0.25, 0.1, 0.19, 
10, , , , , 0.145, , 0.025, 0.005, , , 0.19, , , 0.39086294416243655, , 0.48, 0.365, 0.245, 
11, , , , , 0.33, , 0.23, 0.44, , , 0.3, , , 0.3604060913705584, 0.035175879396984924, 0.215, 0.185, 0.305, 0.085
11.1, , , , , , , , , , , , , , 0.01015228426395939, , , , , 
11.3, , , , , , , 0.065, , , , , , 0.010050251256281407, , , , , , 
12, , , , , 0.02, , 0.175, 0.015, , , 0.025, , 0.010050251256281407, 0.20304568527918782, 0.41708542713567837, 0.045, 0.07, 0.085, 0.315
12.3, , , , , , , 0.31, , , , , , 0.03015075376884422, , , , , , 
13, , , , , 0.275, , 0.05, 0.03, , , , 0.045, 0.1407035175879397, 0.015228426395939087, 0.4221105527638191, 0.01, , , 0.345
13.1, , , 0.005, , , , , , , , , , , , , , , , 
13.3, , , , , , , 0.11, , , , 0.005, , 0.31155778894472363, , , , , , 
14, 0.005, , , , 0.01, , 0.015, 0.305, , , , 0.38, 0.20100502512562815, , 0.10050251256281408, , , , 0.18
14.1, , , , , , , , , , , , , , , , , , 0.005, 
14.3, , , , , , , 0.02, , , , , , 0.12060301507537688, , , , , , 
15, 0.015, 0.005050505050505051, , 0.005, , , , 0.195, , , , 0.425, 0.1306532663316583, , , , , , 0.065
16, 0.025, , 0.01, 0.065, , 0.49, , 0.01, , 0.03, , 0.14, 0.04020100502512563, , , , , , 0.005
17, 0.045, 0.010101010101010102, 0.025, 0.195, , 0.045, , , , 0.26, , 0.01, 0.005025125628140704, , , , , , 
18, 0.155, 0.005050505050505051, 0.035, 0.395, , 0.095, , , , 0.495, , , , , , , , , 
19, 0.29, 0.020202020202020204, 0.08, 0.22, , 0.175, , , , 0.215, , , , , , , , , 
20, 0.265, 0.015151515151515152, 0.12, 0.07, , 0.045, , , , , , , , , , , , , 
21, 0.1, 0.010101010101010102, 0.09, 0.05, , 0.12, , , , , , , , , , , , , 
21.1, , , 0.01, , , , , , , , , , , , , , , , 
22, 0.085, 0.030303030303030304, 0.065, , , 0.03, , , , , , , , , , , , , 
23, 0.015, 0.09595959595959595, 0.07, , , , , , , , , , , , , , , , 
24, , 0.23737373737373738, 0.075, , , , , , , , , , , , , , , , 
25, , 0.17676767676767677, 0.085, , , , , , , , , , , , , , , , 
26, , 0.18686868686868688, 0.055, , , , , , , , , , , , , , , , 
27, , 0.06565656565656566, 0.045, , , , , , , , , , , , , , , , 
28, , 0.07575757575757576, 0.055, , , , , , 0.015, , , , , , , , , , 
29, , 0.045454545454545456, 0.065, , , , , , 0.045, , , , , , , , , , 
30, , 0.010101010101010102, 0.04, , , , , , 0.02, , , , , , , , , , 
31, , 0.010101010101010102, 0.03, , , , , , 0.14, , , , , , , , , , 
32, , , 0.02, , , , , , 0.155, , , , , , , , , , 
33, , , 0.01, , , , , , 0.28, , , , , , , , , , 
34, , , 0.01, , , , , , 0.265, , , , , , , , , , 
35, , , , , , , , , 0.045, , , , , , , , , , 
36, , , , , , , , , 0.03, , , , , , , , , , 
38, , , , , , , , , 0.005, , , , , , , , , , 
