key, count, percentage
6, 24, 0.006327445293962563
7, 31, 0.00817295017136831
8, 41, 0.010809385710519377
9, 252, 0.0664381755866069
10, 368, 0.0970208278407593
11, 496, 0.13076720274189296
12, 275, 0.07250197732665437
13, 266, 0.0701291853414184
14, 239, 0.06301080938571052
15, 168, 0.04429211705773794
16, 163, 0.04297389928816241
17, 119, 0.03137358291589771
18, 236, 0.0622198787239652
19, 200, 0.052728710783021354
20, 103, 0.027155286053255998
21, 74, 0.019509622989717902
22, 42, 0.011073029264434485
23, 36, 0.009491167940943844
24, 62, 0.01634590034273662
25, 52, 0.013709464803585552
26, 48, 0.012654890587925125
27, 22, 0.005800158186132349
28, 29, 0.007645663063538096
29, 31, 0.00817295017136831
30, 14, 0.003691009754811495
31, 36, 0.009491167940943844
32, 35, 0.009227524387028736
33, 58, 0.015291326127076193
34, 55, 0.014500395465330872
35, 9, 0.002372791985235961
36, 6, 0.0015818613234906407
38, 1, 0.0002636435539151068
12.3, 68, 0.01792776166622726
13.3, 85, 0.022409702082784075
14.1, 1, 0.0002636435539151068
14.3, 28, 0.00738201950962299
11.3, 15, 0.003954653308726601
21.1, 2, 0.0005272871078302136
11.1, 2, 0.0005272871078302136
13.1, 1, 0.0002636435539151068
