, DXS10079, DXS101, DXS10135, DXS10162, DXS6795, DXS6800, DXS6803, DXS6807, DXS6809, DXS6810, DXS7133, DXS7423, DXS981, DXS9902, DXS9907,  GATA165B12,  GATA172D05,  GATA31E08,  HPRTB
6, , , , , , , , , , , , , , , , , 0.09, 0.015, 
7, , , , , , , , , , , , , , , , , 0.005, 0.085, 
8, , , , , , , , , , , , , , , 0.005025125628140704, 0.01, 0.1275, 0.045, 
9, , , , , 0.13, , , , , , 0.6432160804020101, , , 0.035, 0.010050251256281407, 0.2625, 0.03, 0.215, 
10, , , , , 0.16, , 0.005, , , , 0.1507537688442211, , , 0.3775, 0.010050251256281407, 0.495, 0.425, 0.28, 
11, , , , , 0.335, , 0.2, 0.41457286432160806, , , 0.19095477386934673, , , 0.39, 0.05025125628140704, 0.2125, 0.2725, 0.29, 0.1
11.3, , , , , , , 0.045, , , , , , 0.005, , , , , , 
12, , , , , 0.02, , 0.2275, 0.020100502512562814, , , 0.005025125628140704, , 0.01, 0.1925, 0.39195979899497485, 0.02, 0.05, 0.065, 0.28
12.1, , , , , , , , , , , , , , 0.005, , , , , 
12.3, , , , , , , 0.335, , , , , , 0.035, , , , , , 
13, , , , , 0.345, , 0.07, 0.03015075376884422, , , , 0.045, 0.1975, , 0.4371859296482412, , , 0.005, 0.2725
13.3, , , , , , , 0.1175, , , , , , 0.24, , , , , , 
14, 0.005, , , , 0.01, , , 0.3241206030150754, , , 0.010050251256281407, 0.3625, 0.25, , 0.08542713567839195, , , , 0.23
14.3, , , , , , , , , , , , , 0.075, , , , , , 
15, 0.025, 0.010050251256281407, , , , , , 0.18090452261306533, , , , 0.4475, 0.1375, , , , , , 0.105
15.3, , , , , , , , , , , , , 0.015, , , , , , 
16, 0.0175, 0.005025125628140704, 0.01, 0.07, , 0.5202020202020202, , 0.03015075376884422, , 0.01, , 0.115, 0.025, , , , , , 0.0125
17, 0.06, 0.005025125628140704, , 0.215, , 0.05555555555555555, , , , 0.2275, , 0.03, 0.01, , , , , , 
18, 0.17, 0.02512562814070352, 0.07, 0.33, , 0.06060606060606061, , , , 0.5425, , , , , , , , , 
OL, , , , , , , , , 0.005, , , , , , 0.010050251256281407, , , , 
19, 0.21, 0.03015075376884422, 0.08, 0.285, , 0.11616161616161616, , , , 0.22, , , , , , , , , 
19.2, 0.01, , , , , , , , , , , , , , , , , , 
20, 0.215, 0.010050251256281407, 0.11, 0.07, , 0.015151515151515152, , , , , , , , , , , , , 
21, 0.1825, 0.035175879396984924, 0.0925, 0.03, , 0.15151515151515152, , , , , , , , , , , , , 
21.1, , , 0.025, , , , , , , , , , , , , , , , 
21.2, 0.005, , , , , , , , , , , , , , , , , , 
22, 0.095, 0.04522613065326633, 0.105, , , 0.07575757575757576, , , , , , , , , , , , , 
23, 0.005, 0.09045226130653267, 0.07, , , 0.005050505050505051, , , , , , , , , , , , , 
24, , 0.2135678391959799, 0.05, , , , , , , , , , , , , , , , 
25, , 0.22613065326633167, 0.05, , , , , , , , , , , , , , , , 
26, , 0.1507537688442211, 0.07, , , , , , , , , , , , , , , , 
27, , 0.09547738693467336, 0.04, , , , , , , , , , , , , , , , 
28, , 0.05527638190954774, 0.065, , , , , , 0.02, , , , , , , , , , 
29, , , 0.0375, , , , , , 0.01, , , , , , , , , , 
30, , 0.002512562814070352, 0.07, , , , , , 0.02, , , , , , , , , , 
31, , , 0.03, , , , , , 0.15, , , , , , , , , , 
32, , , 0.005, , , , , , 0.205, , , , , , , , , , 
33, , , 0.01, , , , , , 0.23, , , , , , , , , , 
34, , , 0.01, , , , , , 0.2175, , , , , , , , , , 
35, , , , , , , , , 0.105, , , , , , , , , , 
36, , , , , , , , , 0.0325, , , , , , , , , , 
37, , , , , , , , , 0.005, , , , , , , , , , 
