key, count, percentage
6, 42, 0.005535055350553505
7, 36, 0.004744333157617291
8, 75, 0.009884027411702688
9, 529, 0.06971534001054296
10, 761, 0.10028993147074328
11, 981, 0.12928307854507118
12, 512, 0.06747496046389036
13, 560, 0.07380073800738007
14, 510, 0.06721138639957829
15, 362, 0.04770690564048498
16, 324, 0.042698998418555616
17, 241, 0.03176067474960464
18, 479, 0.06312598840274117
19, 376, 0.049551924090669476
20, 168, 0.02214022140221402
21, 196, 0.025830258302583026
22, 128, 0.01686874011597259
23, 68, 0.008961518186610437
24, 105, 0.013837638376383764
25, 110, 0.014496573537163942
26, 88, 0.011597258829731154
27, 54, 0.007116499736425936
28, 56, 0.007380073800738007
29, 19, 0.002503953610964681
30, 37, 0.004876120189773327
31, 72, 0.009488666315234581
32, 84, 0.01107011070110701
33, 96, 0.012651555086979441
34, 91, 0.011992619926199263
35, 42, 0.005535055350553505
36, 13, 0.001713231418028466
37, 2, 0.0002635740643120717
13.3, 143, 0.018845545598313126
14.3, 30, 0.003953610964681075
12.3, 148, 0.019504480759093307
11.3, 20, 0.002635740643120717
19.2, 4, 0.0005271481286241434
15.3, 6, 0.0007907221929362151
21.1, 10, 0.0013178703215603585
OL, 6, 0.0007907221929362151
12.1, 2, 0.0002635740643120717
21.2, 2, 0.0002635740643120717
