, DXS10079, DXS101,  DXS10135, DXS10162, DXS6795,  DXS6800, DXS6803, DXS6807, DXS6809, DXS6810, DXS7133, DXS7423, DXS981, DXS9902, DXS9907,  GATA165B12,  GATA172D05,  GATA31E08,  HPRTB
6, , , , , , , , , , , 0.020833333333333332, , , , , , 0.036458333333333336, , 
7, , , , , , , , , , , , , , , , 0.005208333333333333, , 0.03125, 
8, , , , , , , , , , , 0.005208333333333333, , , , , 0.005208333333333333, 0.09375, 0.015625, 
9, , , , , 0.07291666666666667, , , , , , 0.6770833333333334, , , 0.041666666666666664, , 0.1875, 0.140625, 0.2552083333333333, 
10, , , , , 0.1875, , , , , , 0.22395833333333334, , , 0.390625, 0.005208333333333333, 0.5260416666666666, 0.5416666666666666, 0.20833333333333334, 
11, , , , , 0.21354166666666666, , 0.171875, 0.4322916666666667, , , 0.07291666666666667, , , 0.3177083333333333, 0.015625, 0.203125, 0.140625, 0.390625, 0.041666666666666664
11.3, , , , , , , 0.08854166666666667, , , , , , , , , , , , 
12, , , , , 0.08854166666666667, , 0.09895833333333333, 0.005208333333333333, , , , , 0.010416666666666666, 0.234375, 0.40625, 0.07291666666666667, 0.041666666666666664, 0.08333333333333333, 0.21875
12.3, , , , , , , 0.5052083333333334, , , , , , 0.08854166666666667, , , , , , 
13, , , , , 0.421875, , 0.015625, 0.010416666666666666, , , , , 0.21875, 0.015625, 0.4739583333333333, , 0.005208333333333333, 0.010416666666666666, 0.4114583333333333
13.3, , , , , , , 0.109375, , , , , , 0.234375, , , , , , 
14, , , , , 0.010416666666666666, , , 0.3645833333333333, , , , 0.3489583333333333, 0.25, , 0.09375, , , 0.005208333333333333, 0.2552083333333333
14.3, , , , , , , 0.010416666666666666, , , , , , 0.09375, , , , , , 
15, , , , , 0.005208333333333333, , , 0.15104166666666666, , , , 0.5677083333333334, 0.08333333333333333, , 0.005208333333333333, , , , 0.0625
15.3, , , , , , , , , , , , , 0.005208333333333333, , , , , , 
16, , , , 0.052083333333333336, , 0.7552083333333334, , 0.036458333333333336, , 0.010416666666666666, , 0.06770833333333333, 0.015625, , , , , , 0.010416666666666666
17, 0.041666666666666664, , 0.010416666666666666, 0.17708333333333334, , 0.015625, , , , 0.11458333333333333, , 0.015625, , , , , , , 
17.2, 0.005208333333333333, , , , , , , , , , , , , , , , , , 
OL, , 0.010416666666666666, , , , , , , , , , , , , , , , , 
18, 0.140625, , 0.020833333333333332, 0.4270833333333333, , 0.005208333333333333, , , , 0.5572916666666666, , , , , , , , , 
19, 0.2604166666666667, , 0.10416666666666667, 0.2760416666666667, , 0.140625, , , , 0.3072916666666667, , , , , , , , , 
20, 0.3020833333333333, , 0.109375, 0.052083333333333336, , , , , , 0.010416666666666666, , , , , , , , , 
21, 0.15625, 0.026041666666666668, 0.15104166666666666, 0.010416666666666666, , 0.005208333333333333, , , , , , , , , , , , , 
22, 0.08333333333333333, 0.020833333333333332, 0.140625, 0.005208333333333333, , 0.078125, , , , , , , , , , , , , 
23, 0.005208333333333333, 0.09895833333333333, 0.09375, , , , , , , , , , , , , , , , 
24, 0.005208333333333333, 0.2760416666666667, 0.07291666666666667, , , , , , , , , , , , , , , , 
25, , 0.23958333333333334, 0.052083333333333336, , , , , , , , , , , , , , , , 
26, , 0.234375, 0.0625, , , , , , , , , , , , , , , , 
27, , 0.052083333333333336, 0.052083333333333336, , , , , , , , , , , , , , , , 
28, , 0.020833333333333332, 0.010416666666666666, , , , , , , , , , , , , , , , 
29, , 0.005208333333333333, 0.03125, , , , , , , , , , , , , , , , 
30, , 0.015625, 0.020833333333333332, , , , , , 0.005208333333333333, , , , , , , , , , 
31, , , 0.020833333333333332, , , , , , 0.125, , , , , , , , , , 
32, , , 0.03125, , , , , , 0.234375, , , , , , , , , , 
33, , , 0.010416666666666666, , , , , , 0.3385416666666667, , , , , , , , , , 
34, , , 0.005208333333333333, , , , , , 0.21875, , , , , , , , , , 
35, , , , , , , , , 0.07291666666666667, , , , , , , , , , 
36, , , , , , , , , 0.005208333333333333, , , , , , , , , , 
